wrong	correct
oposite*2	opposite
wonk	woke
affectionote	affectionate
refrigertor	refrigerator
susici	suspicion
biy	by
voutere	voucher
sidn*5	said
glars	glass
owe	our
post	posts
requission	requisition
efford	effort
belive*2	believe
shok	shock
economico	economical
convemation	confirmation
cleark	clerk
gatr	gate
dat	date
amittenly	immediately
undastand	understand
valey	valley
spectatoes	spectators
converlesance	convalescence
acording	accrued
oar	are
Ysid	Yard
firend	field
gust*5	just
laghfe	laugh
comen	community
minemom	minimum
dispoint	disappoint
dige	dig
enalicis	analysis
auditorial	auditorium
seer	saw
coraspondance	correspondence
everone	everyone
pelimanary	preliminary
recquisem	requisition
recuazition	requisition
instrments	instruments
strainous	strenuous
onel	answer
pteire	particular
conditining	conditioning
finachel	financial
apparentlly	apparently
cancilliation	cancellation
happyness	happiness
scientic	scientific
kindegarten	kindergarten
tkae	take
bueiful	beautiful
Wesh	Welsh
nessary	necessarily
exstaplishing	establishing
magnivisont	magnificent
aright	alright
and	one
couriosoty	curiosity
eit	eye
almeadly	immediately
ferture	virtue
episule	epistle
proplom	problem
garrete	guarantee
spects	aspects
watter	water
secondery	secondary
sarrority	sorority
mutten	mustn't
acknowlging	acknowledging
skillful	skilfully
ingered	injured
foreever	forever
wheh	when
kindergardent	kindergarten
move	moving
antiapating	anticipating
distirshed	distinguished
fridend	frightened
faud	found
cansel	cancelled
denigy	deny
paliamentarian	parliamentarian
atturney-	attorneys
perminently	permanently
good	opened
fit	fight
treneous	strenuous
wart	wrote
rought	roughly
finatul	financial
logde	lodge
vant	van
tepy	type
busciuts	biscuits
serfishe	surplus
technecal	technical
knoledge	knowledge
aurgument	arguments
cargt	caught
embaraced	embarrassed
arinlan	aeroplane
for_way	forward
wite	with
fluorishes	flourishes
statistic	statistics
intellegence	intelligence
memum	minimum
rporigs	repairs
sacked	searched
villige	village
enitiation	initiation
wicken	weaken
mettreay	materially
aufully	awfully
missiour	monsieur
theif*2	thief
trein	train
predujice	prejudice
forces	force
loued	loud
pollyties	politician
tragedidy	tragedy
sempathetic	sympathetic
Shitaka	Chautauqua
spelended	splendid
current	curtain
recgising	requesting
incidentily	incidentally
affidevit	affidavit
finicially	financially
oridnigly	originally
guadean	guardian
represantives	representatives
bouyant*2	buoyant
exoskelaton	exoskeleton
othere	other
equinomical	economical
wefe	with
acentces	agencies
serted	started
nothern	northern
straghted	started
thourely	thoroughly
plomeber	problem
counventens	competent
appareantly	apparently
ecomnical	economical
suffecienty	sufficiently
bircyls	bicycle
fulgur	vulgar
rologer	vulgar
guarentees	guarantees
gasaline	gasoline
sounet	sound
hans	hands
localy	locally
sivise	surface
Comgress	congress
vargaboard	vagabond
stopen	stolen
intellcial	intellectual
betuiful	beautiful
iperens	experience
resonable	reasonable
ovord	avoid
picture	picturesque
notife	notify
pschology	psychology
mist*3	missed
matiriale	materially
bruch	brush
refirred	referred
tarin	training
ganed	gained
persausion	persuasion
unfotunalty	unfortunately
refiguater	refrigerator
cunnage	tonnage
adjurnment	adjournment
take	turned
phiolosphy	philosophy
aierre	ere
apparatous	apparatus
approxinate	approximate
emencelly	immensely
stokings	stockings
coures	courses
opra	opera
nessasairly	necessarily
matathmatics	mathematics
btade	pretend
scercly	scarcely
announce	annoyance
precedent's	president's
eseserlly	especially
controveries	controversies
ded	deed
immence	immense
couse	coarse
sow	sows
predgious	prejudice
undforgetall	unforgettable
simertry	symmetry
heirarchy	hierarchy
peotry*2	poetry
philslopy	philosophy
intutively	intuitively
work	woke
vacantance	vacancies
defanate	definite
drye	dry
wint	very
cigaret	cigarette
jobcenait	jobcentre
infosastic	enthusiastic
drammatic	dramatic
memmorys	memories
convalessance	convalescence
aringeds	apparatus
holl	hall
rediclious	ridiculous
departed	departure
corosion	corrosion
flagerancy	flagrancy
aloud	allowed
frender	friends
apuval	approval
ovygex	oxygen
Will	While
meteraily	materially
redickles	ridiculous
affictiratly	affectionately
ecpecially	especially
thoughty	thoroughly
representiveties	representatives
collatertrat	collateral
predudous	prejudice
vesle	recently
delinquenut	delinquent
dificult	difficult
reconnd	reckon
techet	teachers
snab	shaggy
desision	decision
deturmaned	determined
notisbool	noticeable
modal*2	model
protented	pretend
curiostey	curiosity
malloncolly	melancholy
droped	dropped
wied	women
ratding	rating
equlk	equally
polytishion	politician
mu	mist
womow	women
wat	loud
infusieasom	enthusiasm
appoligy	apology
gatr	great
guerrilas	guerrillas
houshe	household
olso	also
remend	remember
sceduled	scheduled
literually	literally
Delagates	delegates
unfortent	unfortunate
geenus	genius
had	wanted
and	he
sertinly	certainly
dogged	dodged
transferr	transferred
safit	surface
virteous	virtues
aparot	apparent
peaper	people
accompying	accompanying
showt	shout
holesale	wholesale
apriciate	appreciate
ordenary	ordinary
srowened	surrounded
noses	noisy
morgags	mortgage
indifinate	indefinite
inconvinced	inconvenienced
extreamly	extremely
finanshel	financial
saught	sought
satifielty	satisfactorily
pre-historic	prehistoric
confermation	confirmation
visitid	visited
consenience	conscientious
fihet	fight
ofomt	from
tempricher	temperature
rablenackle	technical
phsicology	psychology
concienanse	conscientious
lateest	latest
and	accident
prophesy	prophecy
artifically	artificially
organ	again
home_work	homework
seduled	scheduled
regernent	region
redeculous	ridiculous
magg	beg
horn_rimed	horn-rimmed
permennam	permanent
congralulations	congratulations
consonent	consonant
domfordion	comfortable
melancholly	melancholy
contentie	contented
speciments	specimens
bradcast	broadcast
ophoned	orphaned
excell	excel
gartee	guarantee
recetey	recently
equesting	requesting
semitry	cemetery
negoceations	negotiations
foned	food
vagbond	vagabond
speacking	speaking
Autin	Austin
deabite	debit
sherfishent	sufficient
doubte	doubt
anumny	alumni
became	be_coming
curent	current
communitate	communicate
phacificially	specifically
olny	only
axerdent	accident
fie	folly
exarrate	exaggerate
nessesity	necessity
frindes	friends
tehy	they
supercede*3	supersede
espeslet	especially
anoints	annoyance
semi	schemes
epistol	epistle
receipt's	receipts
exsepshionly	exceptionally
fassion	fashion
kepper	keeper
curtiscy	courtesies
rea	researchers
suterble	suitable
doar	door
rumitisum	rheumatism
exterce	ecstasy
opportunitys	opportunities
wening	women
dael	dahl
certian	curtain
preduis	prejudice
cometent	competent
damaged	damage
ld	I
dirven	driven
pssess	possess
expinture	expenditure
rhomentic	romantic
awer	answer
presadent's	president's
eate	here
grate	great
amaiable	amiable
pupil	purple
ggot	great
aneversory	anniversary
token	taken
continos	continuous
hedmaster	headmaster
tenber	timber
cafic	traffic
noine	noisy
unfortunat	unfortunate
erasistoble	irresistible
difues	defuse
balhot	belief
proply	properly
event_bold	everybody
refreduator	refrigerator
reccominding	recommending
perllips	Philip's
soroarate	sorority
exsis	exists
compeltion	completion
mongerge	mortgage
mainenance	maintenance
customory	customary
occaisionally	occasionally
auditormeon	auditorium
tourmad	tournament
sucipition	suspicion
artillary	artillery
missalaes	miscellaneous
bycicyle	bicycle
indeffinitly	indefinitely
arachester	orchestra
harsten	harassed
ellomontry	elementary
redikulis	ridiculous
passed	past
custamery	customary
does'nt	doesn't
sgasly	scarcely
pretiest	prettiest
hant	plan
especily	especially
gowe	go
addres	address
fircin	freezing
dessipoint	disappoint
apperats	apparatus
la-by*2	layby
indeafant	indefinite
galmedt	galloped
kindly	kind
abrusimate	approximate
assertaine	ascertain
aboyed	avoid
bufer	beautiful
play*2	playing
tobboan	toboggan
primey	primary
capaserty	capacity
shefint	sufficient
potet	pockets
lessons	lesson
fulfillment	fulfilment
correcte	correct
bourd	bored
larvd	laughed
texates	technical
voise	voice
come	comb
archetects	architects
exhileration	exhilaration
bode	body
distigushed	distinguished
rought	rough
faviote	favourite
oportumities	opportunities
positon	position
sank	sound
atlesould	altitude
affactionate	affectionate
phamph	pamphlet
enterns	entrance
spase	space
sugest	subject
wisting	whistling
lact	back
temperter	temperature
stomact	stomach
exest	exists
ealoy	enjoy
rain_cote	raincoat
mishing	machine
tam	tame
juies	juice
silfle	skilfully
fina	financial
condem	condemn
soe	so
inhesles	initials
intejilent	intelligent
brakke	brake
rased	raised
satifactory	satisfactory
lie	live
thror	they
takle	tackle
heolop	helicopter
grautually	gradually
aroed	avoid
bicuites	biscuits
renue	renew
danerer	dangerous
bav	?
abserb	absurd
cearton	curtain
excatly	exactly
rect	rec
unaminuous	unanimous
ingage	engage
ridiculois	ridiculous
cantenti	contented
exeplishing	exceptionally
out	own
isotrop	isotope
appaled	appalled
madniest	magnificent
askin	asking
especailly	especially
porble	problem
affectsolutely	affectionately
properlon	problem
exterordenary	extraordinary
annoieance	annoyance
lourd	loud
catagorey	category
knell	knife
oftent	often
infenate	infinite
enquisit	exquisite
sacisfacsh	satisfaction
sciverly	skilfully
approxinatly	approximately
a_wean	away
philosephy	philosophy
adolecent	adolescent
geometriy	geometry
vertrue	virtues
jiunor	junior
alumini	alumni
macfvicent	magnificent
refressment	refreshment
resit	receipt
supervison	supervision
ackseptable	acceptable
virde	vivid
appartenately	apparently
re_mind	remind
facilty	faculty
enacesiable	inaccessible
hinderance	hindrance
benghts	beneath
magnisphant	magnificent
reprotation	reputation
smimi-skilled	semi-skilled
gessed	guessed
vacantces	vacancies
possitive	positive
thoroughally	thoroughly
garentee-ed	guaranteed
wed	weed
mafnificent	magnificent
conscenceous	conscientious
mountonous	mountainous
choice	chose
trend	turned
sheepe	sheep
fined	friend
rumitisumn	rheumatism
cernol	colonel
gardeane	guardian
happen*2	happened
emmigrated	emigrated
was_fill	whistling
roud	rude
bultlyfull	beautiful
unblale	unparalleled
sutible	suitable
redey	ready
vundimental	fundamental
dinon	diamond
prim	primary
alimentory	elementary
bearraid	buried
payed*3	paid
ashame	ashamed
pes	peas
mustine	mustn't
medical	medical
satasfactorly	satisfactorily
unusualy	unusually
unoiense	annoyance
situating	situation
permamently	permanently
mimimum	minimum
emencally	immensely
appietite	appetite
thes	this
violonce	violence
in	impractical
inconivnence	inconvenience
sugested	suggested
somock	stomach
copywrite	copyright
compet	completing
insedetely	incidentally
leanr	learn
millionnaire	millionaire
disabelled	disabled
inconvienienced	inconvenienced
musintent	mustn't
pirtral	spiritual
meney	many
agenceys	agencies
opesit	opposite
felosope	philosophy
cancely	cancelling
uggested	suggested
cofens	coffins
overe	over
numbe	number
mistry	mystery
phraise	phase
yesars	years
magenivisened	magnificent
enigne	engine
remantic	romantic
pictureask	picturesque
contempe	contented
desacidy	decidedly
serpulse	surplus
courtss	courtesies
talk	talked
sicogoly	psychology
wiman	women
morgige	mortgage
schedul	schedule
lost	last
montor	monitor
perculiar	peculiar
abound	about
critisize*2	criticize
suceed*2	succeed
als	as
immencially	immensely
splenden	splendid
embarresed	embarrassed
consal	counsel
beleived*2	believed
enbarrased	embarrassed
imaganation	imagination
lite	lights
scaresley	scarcely
poliet	pilot
graphicaly	graphically
sussecful	successful
haed	head
scandle	scandal
saing	sank
unimas	unanimous
plansted	planted
prlular	peculiar
sager	shaggy
affadavat	affidavit
sasticics	statistics
assasinations	assassinations
recqest	requesting
Nazereth	Nazareth
controvercey	controversy
wass*2	was
annalasias	analysis
remder	remember
curtious	courteous
establaision	establishing
rarver	rather
bootf	beautiful
juis	juice
exturorary	extraordinary
georgous	gorgeous
enforeastic	enthusiastic
espesaly	especially
sicolagee	psychology
beleive*3	believe
rain_cout	raincoat
adquante	adequate
presure	pressure
alote	a_lot
eqauly	equally
cansulling	cancelling
indisputible	indisputable
louer	lower
nicociation	negotiations
sotyr	story
bineing	dining
companys*2	companies
awserw	answer
inury	injury
kerten	curtain
fayes	phase
merguge	mortgage
outameter	altimeter
critizom	criticism
extered	exerted
tourch	torch
costumer	customer
aimeualable	amiable
refrigrater	refrigerator
butifel	beautiful
deim	deem
insient	innocent
dinasour	dinosaur
maknivison	magnificent
permannetly	permanently
coms	comes
misilanious	miscellaneous
get	great
sall	shall
infromation	information
acrud	accrued
inniciation	initiation
a_with	away
pla	plan
worse	worst
boomaranges	boomerangs
technecally	technically
ganges	gangs
jump*3	jumped
lould	loud
exsenive	extensive
annaversiry	anniversary
falk	fork
tyhat	that
affectinatly	affectionately
procesor	processor
entiligual	intellectual
ajurin	adjourned
onfortumatly	unfortunately
slite	slight
drought	dropped
lovey	lovely
estading	establishing
glourious	glorious
baskek	basket
ther*7	there
recomending*2	recommending
not	nut
spliend	splendid
miscalanious	miscellaneous
ad	had
disaned	designed
prentend	pretend
aftere	after
prasp	perhaps
sheat*2	sheet
sier	stars
sede	seed
finically	financially
splet	splendid
bush	brush
prefferred	preferred
recamendations	recommendations
ack	ask
urbote	about
cam	cup
parth_way	pathway
radicing	rating
wheather	whether
hadr	heard
critisum	criticism
disgration	discretion
fren	friend
benifficial	beneficial
taek	take
reconon	reckon
flay	fly
missterious	mysterious
prevaded	pervaded
bon	bone
blak	black
becane	beginning
corriders	corridors
besau	pretend
alumentry	elementary
sew	saw
outfet	outfit
comparetivily	comparatively
guaranttee	guarantee
committee	committed
aticipation	anticipation
tallk	talk
accomodating	accommodating
perifery	periphery
speciefic	specific
abunt	about
brihifull	beautiful
bel	stomach
spen	spin
abe	been
feod	found
ill	I'll
suffeciently	sufficiently
stoble	suitable
beteen	between
hast	?
uninbud	unemployed
comepitent	competent
elementry	elementary
garunteed	guarantee
thourah	thorough
rait	rate
claim	climb
negoodations	negotiations
equely	equally
seariously	seriously
mane*2	main
tank	turned
critisym	criticism
incrsin	increasing
parrakeets	parakeets
irisable	irresistible
poerty	poetry
rouef	rough
houres	horse
beutifully	beautiful
congraduations	congratulations
beneth	beneath
permenantly	permanently
flagancy	flagrancy
toring	trotting
trobel	trouble
ordiniarly	ordinarily
permenent	permanent
revue	review
welth	wealth
regeted	regretted
porertrey	poetry
ocasions	occasions
Stanlay	Stanley
memerable	memorable
approxiametely	approximately
speritual	spiritual
mystirious	mysterious
exhasted	exhausted
advainet	accident
sinck	sink
tobogone	toboggan
wop	chop
corrador	corridor
afatait	affidavit
pege	beg
regon	reckon
antecipation	anticipation
namin	minimum
recomandition	recommendations
emmision	emission
exculy	ecstasy
fimular	familiar
arrangemence	arrangements
imminsely	immensely
statistikes	statistics
kitchin*2	kitchen
famelear	familiar
eppisial	epistle
offense	offence
arrangement	arrangements
ster	spare
disenged	designed
opiste	opposite
priveliged*2	privileged
playes	plays
deadil	deadlier
scheuled	scheduled
powerfull*2	powerful
grafitti	graffiti
shaging	shaggy
episicle	epistle
opoond	opened
cace	case
rumetisum	rheumatism
ple	pleased
cept	kept
daring	dart
recqusistion	requisition
hoesh	house
atheletics	athletics
approcksament	approximate
sinning	spinning
reponse	response
aserdent	accident
infaint	infinite
necessarially	necessarily
singl	single
actcepuanlly	exceptionally
recommition	recognition
bellefull	beautiful
apologe	apology
grouned	ground
niose	noisy
sor	saucer
instipated	anticipate
paws	pause
comfartable	comfortable
effiency	efficiency
depudy	deputy
solt	ship
lucking	looking
solders	soldiers
dooged	dodged
reconece	reckon
expurtes	experience
intellegual	intellectual
plases	places
gingam	gingham
well_educated	well-educated
indepedantly	independently
marks	masks
memaradan	memorandum
propellor*2	propeller
appaulling	appalling
comperlis	convalescence
inployee	employees
tack*2	take
procedger*2	procedure
acse	anxious
deffinatly	definitely
semi-colon	semicolon
inressitable	irresistible
ching	choosing
affadapfed	affidavit
anoynas	annoyance
horres	horse
detrement	determined
furmiler	familiar
compair	compare
cercular	circular
apeptite	appetite
will	with
broady	broadly
dom	do
tumage	tonnage
preturiest	picturesque
receved	received
precidis	prejudice
dominatory	dormitory
time_tables	timetables
stem	steam
shet	sheet
sabboth	sabbath
kem	came
fortenlly	fraternally
manes	names
windey	windy
is	it's
wiskey*3	whiskey
tearcher	teacher's
vacaciencies	vacancies
Recommendations	recommendations
accrewed	accrued
portrer	poetry
hetephonen	telephoned
avd	avoid
sintenle	certainly
hellecopter	helicopter
ansrew	answer
jodceter	jobcentre
aflly	actually
gravey	gravy
cotage	cottage
shay	shaggy
will	well_as
gardein	guardian
accasional	occasional
aclimplised	accomplished
anticupate	anticipate
repersentatives	representatives
pinecall	pinnacle
pusing	pushing
unfournate	unfortunate
him	he
arived*2	arrived
chees	cheese
tobogn	toboggan
biscut	biscuits
od	order
is_seply	especially
clody	cloudy
regeard	regained
scholarstic	scholarly
innoncent	innocent
stranuses	strenuous
baby	babies
comartey	customary
temporarilly	temporary
mous	most
hinself	himself
ferid	friend
gaurd	gourd
coorperation	corporation
weten	when
whanted	wanted
ambision	ambition
achievments	achievements
techniquely	technically
got	goat
geomoratry	geometry
wich	what
coursety	courtesy
cap	cup
bereivement	bereavement
heltege	hedge
shedy	shaggy
mudr	mud
metet	metals
dommority	dormitory
alliviate	alleviate
contemti	contented
turn	turned
inaxssecible	inaccessible
betiful	beautiful
befrou	before
voulger	vulgar
intullictual	intellectual
excells	excels
purturely	fraternally
vacanze	vacancy
sprianed	sprained
vagbonley	vagabond
courteces	courtesies
occationaly	occasionally
happly*2	happily
sachen	satisfaction
proculiar	peculiar
enthusasm	enthusiasm
virtueous	virtues
conscienous	conscious
apoch	approaching
orginal	original
whorter	walked
chikens	chickens
consesptions	conception
scor	score
recantyly	recently
affadavite	affidavit
epislte	epistle
motuarley	materially
ston	stone
wonderous	wondrous
anniverscy	anniversary
wob	would
tradgu	tragedy
job_center	jobcentre
indefanate	indefinite
that	they
fest	feast
bicuths	biscuits
memmories	memories
borol	beautiful
won	won't
regrected	regretted
mernisegat	magnificent
fried	tied
stetistic	statistics
voultures	voucher
guarrenteed	guaranteed
mointinuss	mountainous
truley	truly
correspondences	correspondence
that	the
millitary	military
guarrentee	guaranteed
absorbant	absorbent
subtiranean	subterranean
primal	primary
girlfriend	girlfriends
intellagence	intelligence
abseved	absurd
consciou	conscience
adaquit	adequate
anniable	amiable
inishals	initials
beggin*2	begin
intantion	initiation
requetion	requisition
decidially	decidedly
ere	earth
inmedently	immediately
phpisian	physician
polaral	peculiar
phzestion	physician
peoms*2	poems
fellowed	followed
rereashment	refreshment
cerimonious	ceremonious
sat_fainand	satisfaction
misrable	miserable
garea	gallery
comparativaly	comparatively
provisionaly	provisionally
gallop	galloped
get*4	gets
expern	experts
vagonbond	vagabond
fare	fair
stomoak	stomach
warkd	walked
nortey	naughty
arbitary	arbitrary
redeciolous	ridiculous
strainuous	strenuous
muself	myself
will	when
estaplishing	establishing
tend	turned
bal	beg
aniverseray	anniversary
yas	yes
bankrupes	bankruptcy
mouterroes	mountainous
rengin	region
gerdually	gradually
condition	edition
polytechan	politician
annaum	annum
tine	thin
towl	towel
opersite	opposite
comuniate	communicate
ammidal	amiable
watting	waiting
abraters	apparatus
telehponed	telephoned
alfory	awful
Unfortunately	unfortunately
marvelous	marvellous
cloackrooms	cloakrooms
disincwised	distinguished
aportunates	opportunities
laugth	laugh
reciever*2	receiver
ellection	election
particlar	particular
arsor	answer
file	final
prooved	proved
condeson	conditions
intionals	initials
pooiste	opposite
misullanous	miscellaneous
sarshed	searched
puplel	purple
geomentry	geometry
suralty	sorority
anziaty	anxiety
congratulate	congratulations
faies	phase
rson	answer
fok	folk
arpertunities	opportunities
intrentence	entrance
immeadily	immediately
rocords	records
gread	grade
unfor	unforgettable
inneciation	initiation
hait	height
conceince	conscience
aprockamently	approximately
stummec	stomach
scassly	scarcely
serface	surface
one*2	won
minium	minimum
Contient	continent
convenient	conveniently
bautful	beautiful
concevee	conceive
corresondence	correspondence
sheertes	sheets
nuck	neck
panel	plan
seriouse	serious
ponds*2	pounds
thoroughily	thoroughly
continente	contented
roster	rooster
resarc	research
lenght*2	length
ganed	gate
gowed	glowed
criticisam	criticism
fis	final
sen	seen
satifatorally	satisfactorily
scandall	scandal
confimation	confirmation
swonge	swung
succesfel	successful
enviroments	environments
dormarty	dormitory
surntered	certain
riliu	really
inniseation	initiation
strengh	strength
tacksot	tracksuit
naw	new
reconmendation	recommendation
mnfs	magnificent
disnertion	destination
bankrucpy	bankruptcy
decideally	decidedly
sack	sake
corrspondence	correspondence
spreaded	spread
vacantises	vacancies
Shawtachwa	Chautauqua
basket-Ball	basketball
proff	proof
morgege	mortgage
phalosafy	philosophy
alumna	alumni
undoubtalady	undoubtedly
operators	apparatus
hrmehr	army
encreasing	increasing
memorys	memories
how	hoe
champian	champion
oppersist	opposite
basful	bashful
phyilosophey	philosophy
things	thing
gripe	grippe
ekwely	equally
dying	dining
explanotory	explanatory
sorrity	sorority
traph	traffic
ep	experimental
effeciency	efficiency
anwenser	answer
bal	ball
subterraean	subterranean
deling	dealing
wud	wonder
pirch	perch
highdrolick	hydraulic
divedend	dividend
emmensely	immensely
wilk	walking
consuntrate	concentrate
lod*4	old
movaless	marvellous
dispoulsal	disposal
cope	copy
inconvincence	inconvenience
fli	fly
matmatic	mathematics
temptige	temperature
secely	scarcely
we'll	will
remmbranse	remembrance
acquantants	acquaintance
assisstant	assistant
bueaty	beauty
gemeotry	geometry
fo*2	for
month*2	months
shage	shaggy
recression	requisition
scrambeld	scrambled
debth	depth
collarteral	collateral
thgat	that
addmitted	admitted
choirs	prior
inmotly	immediately
sexul	sexual
iliminate	eliminate
cilinder	cylinder
accomused	accustomed
loge	lodge
visied	visited
conisious	conscious
comunat	community
inclusiv	enthusiasm
dost	dust
occasonially	occasionally
tired*2	tied
minester	minister
dirwe	bridge
dirt	dart
recresting	requesting
lawd	loud
mkae	make
volounteer	volunteer
sufficantly	sufficiently
straines	strenuous
ascertained	ascertain
differant	different
inthusastec	enthusiastic
he	here
asiley	actually
tchers	teachers
eles	Ellis
dreamin	dreaming
commenties	committees
simpathectic	sympathetic
fitund	frightened
inaccesitble	inaccessible
anticapating	anticipating
treadgidous	prejudice
courtoueses	courtesies
fealing	feeling
prcessing	processing
piotels	pilot's
relasions	relations
apparentley	apparently
Economics	economics
sufficency	sufficiently
hardley	hardly
anshoss	anxious
enar	answer
eving	even
courtesey	courtesy
haurs	horse
groun	grown
hand	and
condidierns	conditions
aterning	attorney
eccomonics	economics
prtened	pretend
sycolage	psychology
eye*2	eyes
incouncent	innocent
auditiorm	auditorium
went	with
scadualy	schedule
memeroies	memories
andandn	accident
accomodiate	accommodate
satisfactorcly	satisfactorily
addict	adequate
enthuseasm	enthusiasm
savantly	sufficiently
condishants	conditions
bonkrucpty	bankruptcy
far	for
cematry	cemetery
dieing	dyeing
indinet	indefinite
oathe	other
turmanent	tournament
allienate	alienate
thees	these
aweser	answer
enegine	engine
patoes	potatoes
de	be
explane	exceptionally
wet*6	went
vaciouney	vacancies
preceased	perceive
oging	ogling
dor*2	door
ofrer	over
lessure	leisure
unanasmons	unanimous
confernation	confirmation
site	city
miserlaneish	miscellaneous
siat	sight
mestry	mystery
audiotorium	auditorium
desidely	decidedly
condse	conditions
calers	colours
auditorinum	auditorium
trijant	triumph
preafer	prefer
stoumak	stomach
approachmently	approximately
fare	fire
efficat	efficient
orkisty	orchestra
anomina	pneumonia
agency	agencies
veri	very
unyep	unemployed
furuther	further
truthfull	truthful
panlet	pamphlet
imence	immense
garrntee	guarantee
toght	touched
creept	crept
foaks	folk
mathamates	mathematics
rembered	remembered
Sylver	Sylvia
kintergarden	kindergarten
thorught	thought
corresponce	correspondence
tocting	trotting
tiem	Tim
recretion	requisition
spitrial	spiritual
decid	decidedly
garrent	guarantee
foar	form
expendehure	expenditure
reck	wreck
establesing	establishing
connel	colonel
scandual	schedule
inatitals	initials
valchor	voucher
chork	chalk
bicsnits	biscuits
tuff	tough
ordanaryily	ordinarily
run	are
canvous	canvass
reccomondation	recommendation
pla	pleasure
drafec	traffic
saing	spinning
oppesite	opposite
allowence	allowance
virtrue	virtue
techician	technician
thoy	thought
enetiation	initiation
urborth	above
enivenutualy	eventually
econmo	economics
arrive	arrived
hygeine*2	hygiene
a_seph	asleep
sots	stars
blead	bleed
fundimentle	fundamental
blue	blew
saus	saucer
adicivat	adequate
boot	belt
off_center	off-centre
p	breaking
chearful	cheerful
quarall	quarrel
scampeld	scrambled
fiton	frightened
aninum	annum
conterversy	controversy
skae	scarcely
bulten	bulletin
ferternaly	fraternally
askendent	accident
pocikeds	pockets
tempersh	temperature
sare	sure
remimed	remind
addjurned	adjourned
stranious	strenuous
immenant	immanent
ronud	round
moter	machine
go	do
transfer	transferred
babe	babies
yemorthd	removed
be_come	become
and	on
assrtain	ascertain
reaseet	receipt
nobudy	nobody
paficaly	specifically
som	so
prsioners	prisoners
genuss	genius
iw	eye
satisfactarily	satisfactorily
contraverse	controversy
panthlete	pamphlet
supressing	suppressing
stilus	stylus
vised	visited
gaige	gauge
annicalys	analysis
signiture	signature
curtion	curtain
yah	cup
quesionuse	questionnaire
exaiter	experts
refrechment	refreshment
mate	most
undoubtally	undoubtedly
pearent	parent
indiffenately	indefinitely
suterbell	suitable
seahed	searched
greatful*2	grateful
illegitmate	illegitimate
tile	till
spacifilly	specifically
scedugal	schedule
tell_tailing	telltaling
goopes	groups
vacentisy	vacancy
ansisity	anxiety
find_them	final
epoury	employer
incedental	incidentally
gordigous	gorgeous
enomices	economics
beuitifiel	beautiful
unser	answer
anaversity	anniversary
psyciology	psychology
firnashal	financial
speciel	special
halloe	hallo
assatain	ascertain
alltimeter	altimeter
selpliss	surplus
colarlial	collateral
anticapting	anticipating
mony	many
cancelatin	cancellation
frips	flips
suprise	surprised
take	taken
repremanded	reprimanded
analys	analysis
fasinatting	fascinating
spiecal	special
guic	juice
tradety	tragedy
hammerskjold	hammarskjold
inquir	inquire
centruy	century
contions	conditions
inconviencied	inconvenienced
desiddly	decidedly
gaet	great
opne	open
gargle	gallery
purminent	permanent
lafing	laughing
aroeplane	aeroplane
outermetre	altimeter
preduse	prejudice
undoubtetly	undoubtedly
miscellous	miscellaneous
fried	friend
callatural	collateral
visitd	visited
spellend	splendid
piticular	particular
thaw	there
satishan	satisfaction
picth	pinched
necessarialy	necessarily
autor	author
analices	analysis
symetrically	symmetrically
sophmore*2	sophomore
atashing	attaching
conciantious	conscientious
belive	belief
satifly	satisfy
custamisation	customization
assigmments	assignments
abreashed	appreciate
grops	groups
finall	final
consentrate*2	concentrate
sunley	southern
hosre	house
excep	exceptionally
celabration	celebration
dowe	down
frigtend	frightened
orbitting	orbiting
affedavid	affidavit
approsamate	approximate
goohet	seem
fascenating	fascinating
cristmas	Christmas
curiosities	curiosity
electon	election
temporaily	temporary
subturanium	subterranean
shovle	shovel
emecatly	immediately
despoulsal	disposal
minumend	minimum
continnent	continent
weary	wary
temparary	temporary
referred	preferred
humly	humbly
misslain	miscellaneous
estamate	estimate
afuectionly	affectionately
gess	grass
custamry	customary
comfort	comfortable
nore*2	nor
infoseason	enthusiasm
rexemindiation	recommendation
whisle	whistling
enoyance	annoyance
defie	defy
connectivies	connectives
durn	done
fiel	phial
thourally	thoroughly
mooey	money
estabishments	establishments
beatful	beautiful
fact	fight
ackquaintance	acquaintance
rechond	reckon
aspeat	aspect
dinned	dinner
rond	around
acheve	achieve
reduckulies	ridiculous
stamoch	stomach
annuncio	announce
aduoteriam	auditorium
atipicatience	anticipation
femilure	familiar
morgare	mortgage
excratrate	exaggerate
counicl	counsel
operset	opposite
soronded	surrounded
priliminary	preliminary
neibour	neighbour
apprent	apparent
civilations	civilizations
culu	cultures
anticipating	anticipation
seast	cease
permonet	permanent
efect	effect
stisicks	statistics
acnoledgement	acknowledgement
sefures	surface
grape	groups
arithmatic	arithmetic
potatas	potatoes
foundimental	fundamental
costomor's	customer's
misdameanor	misdemeanor
cusonary	customary
pricishant	precision
droppted	dropped
teknical	technical
tint	thin
stumuke	stomach
anticepation	anticipation
inmenly	immediately
apparately	apparently
hier	higher
before_hand	beforehand
lory*7	lorry
arwser	answer
imederalte	immediately
deemn	deem
gurantte	guarantee
rediculeous	ridiculous
houe	house
gardin	guardian
Tow	Two
occasionily	occasionally
tiad	tied
conceave	conceive
gratuelly	gradually
rohit	wrote
rase	raise
machane	machine
intregued	intrigued
coverterly	comfortable
alowe	above
dizined	designed
